"","X","Item_ID","Sentence","ModalPresent","Finite","QuestionType","DegreeQ","SubjectAuxInv","WhAll","QuantifiedSubject","QuantifiedPredicate","Wh","MatVerb","MatVerbPart","Modal","Verb1","Verb2","DeterminerSubject","DeterminerNonSubject","FullWhPhrase","WhNode","WhParse","Question","SentenceParse","WhPhaseType"
"96",96,"74389:92","and then the states that *t*-2 either don't adopt on a state wide basis or don't have as many kids, just have *-3 to follow along and take what texas gets *t*-1.","no","yes","nominalized","no","",NA,"","","what","take","",NA,"gets","","the","a","",NA,"(WP what)","what texas gets *t*-1","(TOP (S (CONJP (CC And) (RB then)) (NP-SBJ-3 (NP (DT the) (NNS states)) (SBAR (WHNP-2 (WDT that)) (S (NP-SBJ (-NONE- *T*-2)) (VP (CC either) (VP (VBP do) (RB n't) (VP (VB adopt) (PP (IN on) (NP (DT a) (NN state) (RB wide) (NN basis))))) (CC or) (VP (VBP do) (RB n't) (VP (VB have) (NP (ADJP (IN as) (JJ many)) (NNS kids)))))))) (, ,) (ADVP (RB just)) (VP (VB have) (S (NP-SBJ (-NONE- *-3)) (VP (TO to) (VP (VP (VB follow) (ADVP (IN along))) (CC and) (VP (VB take) (SBAR-NOM (WHNP-1 (WP what)) (S (NP-SBJ (NNP Texas)) (VP (VBZ gets) (NP (-NONE- *T*-1)))))))))) (. .) (-DFL- E_S)))","monomorphemic"
"97",97,"143547:10","so. what kind of business are you in *t*-1?","no","yes","root","no","yes",NA,"","","","","",NA,"","","","","what kind",NA,"(WDT What)","so. what kind of business are you in *t*-1?","(TOP (SBARQ (INTJ (UH So)) (. .) (WHNP-1 (WHNP (WDT What) (NN kind)) (PP (IN of) (NP (NN business)))) (SQ (VBP are) (NP-SBJ (PRP you)) (PP-PRD (IN in) (NP (-NONE- *T*-1)))) (. ?) (-DFL- E_S)))","complex"
"98",98,"50809:45","but i don't know if they really had significant effects in the places where they went *t*-2, in *-3 teaching the people how * to cope with their lives better *t*-1.","no","yes","relative","no","",NA,"","","where","know","",NA,"went","","","the","",NA,"(WRB where)","where they went *t*-2","(TOP (S (CC But) (NP-SBJ (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (IN if) (S (NP-SBJ-3 (PRP they)) (ADVP (RB really)) (VP (VBD had) (NP (JJ significant) (NNS effects)) (PP-LOC (IN in) (NP (NP (DT the) (NNS places)) (SBAR (WHADVP-2 (WRB where)) (S (NP-SBJ (PRP they)) (VP (VBD went) (ADVP-DIR (-NONE- *T*-2))))))) (, ,) (PP (IN in) (S-NOM (NP-SBJ (-NONE- *-3)) (VP (VBG teaching) (NP (DT the) (NNS people)) (SBAR (WHADVP-1 (WRB how)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB cope) (PP (IN with) (NP (PRP$ their) (NNS lives))) (ADVP-MNR (RBR better)) (ADVP-MNR (-NONE- *T*-1)))))))))))))) (. .) (-DFL- E_S)))","monomorphemic"
"99",99,"176895:8","especially when you get done *t*-1, you've got something, you know.","no","yes","subject","no","",NA,"","done","when","","",NA,"get","","","","",NA,"(WRB when)","especially when you get done *t*-1","(TOP (S (SBAR-TMP (ADVP (RB Especially)) (WHADVP-1 (WRB when)) (S (NP-SBJ (PRP you)) (VP (VBP get) (ADJP-PRD (VBN done)) (ADVP-TMP (-NONE- *T*-1))))) (, ,) (NP-SBJ (PRP you)) (VP (VBP 've) (VP (VBN got) (NP (NN something)) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know)))))) (. .) (-DFL- E_S)))","monomorphemic"
"100",100,"125369:43","i have three children, um, two, two who *t*-1 are in regular school, uh, eleven year old, an eight year old,","no","yes","relative","no","",NA,"","","who","","",NA,"are","","","an","",NA,"(WP who)","who *t*-1 are in regular school","(TOP (S (NP-SBJ (PRP I)) (VP (VBP have) (NP (NP (CD three) (NNS children)) (, ,) (INTJ (UH um)) (, ,) (EDITED (RM (-DFL- \[)) (NP-UNF (CD two)) (, ,) (IP (-DFL- \+))) (NP (NP (CD two)) (RS (-DFL- \])) (SBAR (WHNP-1 (WP who)) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBP are) (PP-PRD (IN in) (NP (JJ regular) (NN school))))))) (, ,) (INTJ (UH uh)) (, ,) (NP (CD eleven) (NN year) (NN old)) (, ,) (NP (DT an) (CD eight) (NN year) (NN old)))) (, ,) (-DFL- E_S)))","monomorphemic"
"101",101,"4195:28","so, you know, it depends on how you look at it *t*-1.","no","yes","subject","no","",NA,"","","how","","depends",NA,"look","","","","",NA,"(WRB how)","how you look at it *t*-1","(TOP (S (RB So) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (NP-SBJ (PRP it)) (VP (VBZ depends) (PP (IN on) (SBAR (WHADVP-1 (WRB how)) (S (NP-SBJ (PRP you)) (VP (VBP look) (PP (IN at) (NP (PRP it))) (ADVP-MNR (-NONE- *T*-1))))))) (. .) (-DFL- E_S)))","monomorphemic"
"102",102,"131815:5","when i do swing *t*-1 it's an easier swing","no","yes","subject","no","",NA,"","","when","","",NA,"do","","","an","",NA,"(WRB when)","when i do swing *t*-1","(TOP (S (SBAR-TMP (WHADVP-1 (WRB when)) (S (NP-SBJ (PRP I)) (VP (VBP do) (VP (VB swing) (ADVP-TMP (-NONE- *T*-1)))))) (NP-SBJ (PRP it)) (VP (BES 's) (NP-PRD (DT an) (JJR easier) (NN swing))) (-DFL- E_S)))","monomorphemic"
"103",103,"103233:9","so, how do you feel about capital punishment *t*-1?","no","yes","root","no","yes",NA,"","","how","","",NA,"do","","","","",NA,"(WRB how)","so, how do you feel about capital punishment *t*-1?","(TOP (SBARQ (INTJ (UH So)) (, ,) (WHADVP-1 (WRB how)) (SQ (VBP do) (NP-SBJ (PRP you)) (VP (VB feel) (PP (IN about) (NP (JJ capital) (NN punishment))) (ADVP-MNR (-NONE- *T*-1)))) (. ?) (-DFL- E_S)))","monomorphemic"
"104",104,"170051:38","and it didn't look like, uh, you know, how, yo-, you, you walk into some rooms *t*-1 and there's, it's completely generic.","no","yes","subject","no","",NA,"","some","how","","look",NA,"walk","","","some","",NA,"(WRB how)","how, yo-, you, you walk into some rooms *t*-1 and there's, it's completely generic","(TOP (S (CC and) (NP-SBJ (PRP it)) (VP (VBD did) (RB n't) (VP (VB look) (PP (IN like) (, ,) (INTJ (UH uh)) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (SBAR (WHADVP-1 (WRB how)) (, ,) (S (S (EDITED (RM (-DFL- \[)) (EDITED (RM (-DFL- \[)) (NP-SBJ-UNF (PRP yo-)) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP you)) (, ,) (RS (-DFL- \])) (IP (-DFL- \+))) (NP-SBJ (PRP you)) (RS (-DFL- \])) (VP (VBP walk) (PP-DIR (IN into) (NP (DT some) (NNS rooms))) (ADVP-MNR (-NONE- *T*-1)))) (-DFL- E_S) (CC and) (S (EDITED (RM (-DFL- \[)) (S (NP-SBJ (EX there)) (VP-UNF (BES 's))) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP it)) (VP (BES 's) (RS (-DFL- \])) (ADJP-PRD (RB completely) (JJ generic))))))))) (. .) (-DFL- E_S)))","monomorphemic"
"105",105,"77036:20","at t i, is that where you work *t*-1?","no","yes","embedded","no","",NA,"","","where","is","",NA,"work","","that","","",NA,"(WRB where)","where you work *t*-1","(TOP (SQ (PP-LOC-TPC (IN At) (NP (NNP T) (NNP I))) (, ,) (VBZ is) (NP-SBJ (DT that)) (SBAR-LOC-PRD (WHADVP-1 (WRB where)) (S (NP-SBJ (PRP you)) (VP (VBP work) (ADVP-LOC (-NONE- *T*-1))))) (. ?) (-DFL- E_S)))","monomorphemic"
"106",106,"21740:5","when i lived in washington, uh, washington, d c *t*-1, i never went to the washington memorial,","no","yes","subject","no","",NA,"","","when","","",NA,"lived","","","the","",NA,"(WRB when)","when i lived in washington, uh, washington, d c *t*-1","(TOP (S (SBAR-TMP (WHADVP-1 (WRB when)) (S (NP-SBJ (PRP I)) (VP (VBD lived) (PP-LOC (IN in) (EDITED (RM (-DFL- \[)) (NP (NNP Washington)) (, ,) (IP (-DFL- \+))) (INTJ (UH uh)) (, ,) (NP (NP (NNP Washington)) (, ,) (NP (NNP D) (NNP C)))) (ADVP-TMP (-NONE- *T*-1))))) (, ,) (RS (-DFL- \])) (NP-SBJ (PRP I)) (ADVP-TMP (RB never)) (VP (VBD went) (PP-DIR (IN to) (NP (DT the) (NNP Washington) (NNP Memorial)))) (, ,) (-DFL- E_S)))","monomorphemic"
"107",107,"142579:50","now, i asked janice, or somebody recently how you do that *t*-6 uh, when you paint the ceilings *t*-5 you know where you have got that textured stuff, that they have special rollers that *t*-1 are real soft and furry that you paint *t*-3 that with *t*-2 *t*-4.","no","yes","embedded","no","",NA,"","","when","do","",NA,"paint","","","the","",NA,"(WRB when)","when you paint the ceilings *t*-5","(TOP (S (INTJ (UH Now)) (, ,) (NP-SBJ (PRP I)) (VP (VBD asked) (NP (NNP Janice) (, ,) (CC or) (NN somebody)) (ADVP-TMP (RB recently)) (SBAR (WHADVP-6 (WRB how)) (S (NP-SBJ (PRP you)) (VP (VBP do) (NP (DT that)) (ADVP-MNR (-NONE- *T*-6)) (INTJ (UH uh)) (, ,) (SBAR-TMP (WHADVP-5 (WRB when)) (S (NP-SBJ (PRP you)) (VP (VBP paint) (NP (DT the) (NNS ceilings)) (ADVP-TMP (-NONE- *T*-5))))) (PRN (S (NP-SBJ (PRP you)) (VP (VBP know)))) (SBAR-LOC (WHADVP-4 (WRB where)) (S (NP-SBJ (PRP you)) (VP (VBP have) (VP (VBN got) (NP (NP (DT that) (JJ textured) (NN stuff)) (, ,) (SBAR (WHNP-3 (WDT that)) (S (NP-SBJ (PRP they)) (VP (VBP have) (NP (NP (JJ special) (NNS rollers)) (SBAR (WHNP-1 (WDT that)) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBP are) (ADJP-PRD (RB real) (JJ soft) (CC and) (JJ furry))))) (SBAR (WHNP-2 (WDT that)) (S (NP-SBJ (PRP you)) (VP (VBP paint) (NP (NP (-NONE- *T*-3)) (NP (DT that))) (PP (IN with) (NP (-NONE- *T*-2))))))))))) (ADVP-LOC (-NONE- *T*-4)))))))))) (. .) (-DFL- E_S)))","monomorphemic"
"108",108,"24180:43","* haven't figured out what i want *-1 to be *t*-2 when i grow up *t*-3.","no","yes","embedded","no","",NA,"","","when","be","",NA,"grow","","","","",NA,"(WRB when)","when i grow up *t*-3","(TOP (S (NP-SBJ (-NONE- *)) (VP (VBP Have) (RB n't) (VP (VBN figured) (PRT (RP out)) (SBAR (WHNP-2 (WP what)) (S (NP-SBJ-1 (PRP I)) (VP (VBP want) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB be) (NP-PRD (-NONE- *T*-2)) (SBAR-TMP (WHADVP-3 (WRB when)) (S (NP-SBJ (PRP I)) (VP (VBP grow) (PRT (RP up)) (ADVP-TMP (-NONE- *T*-3))))))))))))) (. .) (-DFL- E_S)))","monomorphemic"
"109",109,"157098:15","there are cases where, you know, twenty, thirty years after the fact of * getting evidence, especially as new technology *ich*-2 comes along that *t*-1 might prove their innocence, then, oops, i'm sorry *t*-3,","no","yes","relative","no","",NA,"","","where","","",NA,"know","","","the","",NA,"(WRB where)","where, you know, twenty, thirty years after the fact of * getting evidence, especially as new technology *ich*-2 comes along that *t*-1 might prove their innocence, then, oops, i'm sorry *t*-3","(TOP (S (NP-SBJ (EX There)) (VP (VBP are) (NP-PRD (NP (NNS cases)) (SBAR (WHADVP-3 (WRB where)) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (FRAG (PP-TMP (NP-ADV (QP (CD twenty) (, ,) (CD thirty)) (NNS years)) (IN after) (NP (NP (DT the) (NN fact)) (PP (IN of) (S-NOM (NP-SBJ (-NONE- *)) (VP (VBG getting) (NP (NN evidence))))))) (, ,) (SBAR-TMP (ADVP (RB especially)) (IN as) (S (NP-SBJ (NP (JJ new) (NN technology)) (SBAR (-NONE- *ICH*-2))) (VP (VBZ comes) (ADVP (IN along)) (SBAR-2 (WHNP-1 (WDT that)) (S (NP-SBJ (-NONE- *T*-1)) (VP (MD might) (VP (VB prove) (NP (PRP$ their) (NN innocence))))))))) (, ,) (ADVP (RB then)) (, ,) (S-SEZ (INTJ (UH oops)) (, ,) (-DFL- E_S) (NP-SBJ (PRP I)) (VP (VBP 'm) (ADJP-PRD (JJ sorry)) (ADVP (-NONE- *T*-3)))))))) (, ,) (-DFL- E_S)))","monomorphemic"
"110",110,"133875:24","i got a mickey mouse print is what i got *t*-1.","no","yes","nominalized","no","",NA,"","","what","is","",NA,"got","","","a","",NA,"(WP what)","what i got *t*-1","(TOP (S (S-SBJ (NP-SBJ (PRP I)) (VP (VBN got) (NP (DT a) (NNP Mickey) (NNP Mouse) (NN print)))) (VP (VBZ is) (SBAR-NOM-PRD (WHNP-1 (WP what)) (S (NP-SBJ (PRP I)) (VP (VBN got) (NP (-NONE- *T*-1)))))) (. .) (-DFL- E_S)))","monomorphemic"
"111",111,"110344:17","i don't know how long we're supposed *-1 to carry on a conversation *t*-2, do you?","no","yes","embedded","yes","",NA,"","","how","know","",NA,"'re","","","a","how long",NA,"(WRB how)","how long we're supposed *-1 to carry on a conversation *t*-2","(TOP (SQ (S (NP-SBJ (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (WHADVP-2 (WRB how) (JJ long)) (S (NP-SBJ-1 (PRP we)) (VP (VBP 're) (VP (VBN supposed) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB carry) (PP (IN on) (NP (DT a) (NN conversation)))))) (ADVP-TMP (-NONE- *T*-2))))))))) (, ,) (SQ (VBP do) (NP-SBJ (PRP you))) (. ?) (-DFL- E_S)))","complex"
"112",112,"4216:76","but, uh, as, as far as that goes, i, we at least agree on what we enjoy *t*-1.","no","yes","nominalized","no","",NA,"","","what","","agree",NA,"enjoy","","that","","",NA,"(WP what)","what we enjoy *t*-1","(TOP (S (CC But) (, ,) (INTJ (UH uh)) (, ,) (EDITED (RM (-DFL- \[)) (ADVP-UNF (RB as)) (, ,) (IP (-DFL- \+))) (ADVP (ADVP (RB as) (RS (-DFL- \])) (RB far)) (SBAR (IN as) (S (NP-SBJ (DT that)) (VP (VBZ goes))))) (, ,) (EDITED (RM (-DFL- \[)) (NP-SBJ (PRP I)) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP we)) (RS (-DFL- \])) (ADVP (IN at) (JJS least)) (VP (VBP agree) (PP (IN on) (SBAR-NOM (WHNP-1 (WP what)) (S (NP-SBJ (PRP we)) (VP (VBP enjoy) (NP (-NONE- *T*-1))))))) (. .) (-DFL- E_S)))","monomorphemic"
"113",113,"161919:4","how do you like it down there in texas *t*-1?","no","yes","root","no","yes",NA,"","","how","","",NA,"do","","","","",NA,"(WRB how)","how do you like it down there in texas *t*-1?","(TOP (SBARQ (WHADVP-1 (WRB how)) (SQ (VBP do) (NP-SBJ (PRP you)) (VP (VB like) (NP (PRP it)) (PP-LOC (IN down) (ADVP (RB there))) (PP-LOC (IN in) (NP (NNP Texas))) (ADVP (-NONE- *T*-1)))) (. ?) (-DFL- E_S)))","monomorphemic"
"114",114,"129637:55","oh, well, do you work in a, uh, in a setting where you, uh, are in the food business *t*-1?","no","yes","relative","no","",NA,"","","where","","",NA,"are","do","","the","",NA,"(WRB where)","where you, uh, are in the food business *t*-1","(TOP (SQ (INTJ (UH Oh)) (, ,) (INTJ (UH well)) (, ,) (VBP do) (NP-SBJ (PRP you)) (VP (VB work) (EDITED (RM (-DFL- \[)) (PP-LOC (IN in) (NP-UNF (DT a))) (, ,) (IP (-DFL- \+))) (INTJ (UH uh)) (, ,) (PP-LOC (IN in) (NP (NP (DT a) (RS (-DFL- \])) (NN setting)) (SBAR (WHADVP-1 (WRB where)) (S (NP-SBJ (PRP you)) (, ,) (INTJ (UH uh)) (, ,) (VP (VBP are) (PP-PRD (IN in) (NP (DT the) (NN food) (NN business))) (ADVP-LOC (-NONE- *T*-1)))))))) (. ?) (-DFL- E_S)))","monomorphemic"
"115",115,"145334:20","and it *exp*-2's amazing how much good things like, uh, sesame street will do *t*-1.","no","yes","embedded","yes","",NA,"","","how","","",NA,"do","","","","how much good",NA,"(WRB how)","how much good things like, uh, sesame street will do *t*-1","(TOP (S (CC And) (NP-SBJ (NP (PRP it)) (SBAR (-NONE- *EXP*-2))) (VP (BES 's) (ADJP-PRD (JJ amazing)) (SBAR-2 (WHNP-1 (WRB how) (JJ much) (JJ good)) (S (NP-SBJ (NP (NNS things)) (PP (IN like) (, ,) (INTJ (UH uh)) (, ,) (NP (NNP Sesame) (NNP Street)))) (VP (MD will) (VP (VB do) (NP (-NONE- *T*-1))))))) (. .) (-DFL- E_S)))","complex"
"116",116,"177365:65","well what other, we-, we-, what, uh, what unique things you think, uh, that you can do *t*-1 about it in, in what, in los alamos?","no","yes","root","yes","yes",NA,"","","what","","",NA,"think","","","","what unique things",NA,"(WP what)","well what other, we-, we-, what, uh, what unique things you think, uh, that you can do *t*-1 about it in, in what, in los alamos?","(TOP (SBARQ (INTJ (UH Well)) (EDITED (RM (-DFL- \[)) (WHNP (WP what) (JJ other)) (, ,) (IP (-DFL- \+))) (EDITED (RM (-DFL- \[)) (EDITED (RM (-DFL- \[)) (EDITED (RM (-DFL- \[)) (X (XX we-)) (, ,) (IP (-DFL- \+))) (X (XX we-)) (, ,) (RS (-DFL- \]))) (WHNP (WP what)) (, ,) (RS (-DFL- \])) (IP (-DFL- \+))) (INTJ (UH uh)) (, ,) (WHNP-1 (WP what) (RS (-DFL- \])) (JJ unique) (RS (-DFL- \])) (NNS things)) (SQ (NP-SBJ (PRP you)) (VP (VBP think) (, ,) (INTJ (UH uh)) (, ,) (SBAR (IN that) (S (NP-SBJ (PRP you)) (VP (MD can) (VP (VB do) (NP (-NONE- *T*-1)) (PP (IN about) (NP (PRP it))) (EDITED (RM (-DFL- \[)) (EDITED (RM (-DFL- \[)) (PP-LOC-UNF (IN in)) (, ,) (IP (-DFL- \+))) (PP-LOC-UNF (IN in) (INTJ (WP what))) (, ,) (RS (-DFL- \])) (IP (-DFL- \+))) (PP-LOC (IN in) (NP (NNP Los) (NNP Alamos)))))))) (. ?)) (RS (-DFL- \])) (-DFL- E_S)))","complex"
"117",117,"173804:38","and, uh, i'm not sure 0 they know exactly what, uh, uh, public education supposed *-1 to be for *t*-2 anymore.","no","yes","embedded","no","",NA,"","","what","know","",NA,"supposed","","","","",NA,"(WP what)","what, uh, uh, public education supposed *-1 to be for *t*-2","(TOP (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP-SBJ (PRP I)) (VP (VBP 'm) (RB not) (ADJP-PRD (JJ sure) (SBAR (-NONE- 0) (S (NP-SBJ (PRP they)) (VP (VBP know) (ADVP (RB exactly)) (SBAR (WHNP-2 (WP what)) (, ,) (INTJ (UH uh)) (, ,) (INTJ (UH uh)) (, ,) (S (NP-SBJ-1 (JJ public) (NN education)) (VP (VBN supposed) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB be) (PP-PRP-PRD (IN for) (NP (-NONE- *T*-2))))))))) (ADVP-TMP (RB anymore))))))) (. .) (-DFL- E_S)))","monomorphemic"
"118",118,"82268:20","what do, what do you do *t*-1?","no","yes","root","no","yes",NA,"","","what","","",NA,"do","","","","",NA,"(WP what)","what do, what do you do *t*-1?","(TOP (SBARQ (EDITED (RM (-DFL- \[)) (SBARQ (WHNP (WP what)) (SQ-UNF (VBP do))) (, ,) (IP (-DFL- \+))) (WHNP-1 (WP what)) (SQ (VBP do) (RS (-DFL- \])) (NP-SBJ (PRP you)) (VP (VB do) (NP (-NONE- *T*-1)))) (. ?) (-DFL- E_S)))","monomorphemic"
"119",119,"30568:31","well, we'll try this out and see what it looks like *t*-1.","no","yes","embedded","no","",NA,"","","what","see","",NA,"looks","","","this","",NA,"(WP what)","what it looks like *t*-1","(TOP (S (INTJ (UH Well)) (, ,) (NP-SBJ (PRP we)) (VP (MD 'll) (VP (VP (VB try) (NP (DT this)) (PRT (RP out))) (CC and) (VP (VB see) (SBAR (WHNP-1 (WP what)) (S (NP-SBJ (PRP it)) (VP (VBZ looks) (PP (IN like) (NP (-NONE- *T*-1))))))))) (. .) (-DFL- E_S)))","monomorphemic"
"120",120,"51925:38","but, of course, they still have no concept of, what in the world drugs are *t*-1, you, know","no","yes","relative","no","",NA,"","","what","","",NA,"are","","","the","",NA,"(WP what)","what in the world drugs are *t*-1","(TOP (S (CC But) (, ,) (PP (IN of) (NP (NN course))) (, ,) (NP-SBJ (PRP they)) (ADVP-TMP (RB still)) (VP (VBP have) (NP (NP (DT no) (NN concept)) (PP (IN of) (, ,) (SBAR-NOM (WHNP-1 (WHNP (WP what)) (PP-LOC (IN in) (NP (DT the) (NN world)))) (S (NP-SBJ (NNS drugs)) (VP (VBP are) (NP-PRD (-NONE- *T*-1))))))) (PRN (, ,) (S (NP-SBJ (PRP you)) (, ,) (VP (VBP know))))) (-DFL- E_S)))","monomorphemic"
"121",121,"24499:78","i'm, uh, i deal much better in research and books, and stuff like that which *t*-1 is why i'm going *-2 to enjoy the paralegal field a lot *t*-3.","no","yes","embedded","no","",NA,"","","why","is","",NA,"'m","","","the","",NA,"(WRB why)","why i'm going *-2 to enjoy the paralegal field a lot *t*-3","(TOP (S (EDITED (RM (-DFL- \[)) (S (NP-SBJ (PRP I)) (VP-UNF (VBP 'm))) (, ,) (IP (-DFL- \+))) (INTJ (UH uh)) (, ,) (NP-SBJ (PRP I)) (RS (-DFL- \])) (VP (VP (VBP deal) (ADVP-MNR (RB much) (RB better)) (PP (IN in) (NP (NP (NN research)) (CC and) (NP (NNS books)) (, ,) (CC and) (NP (NP (NN stuff)) (PP (IN like) (NP (DT that))))))) (SBAR (WHNP-1 (WDT which)) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBZ is) (SBAR-PRP-PRD (WHADVP-3 (WRB why)) (S (NP-SBJ-2 (PRP I)) (VP (VBP 'm) (VP (VBG going) (S (NP-SBJ (-NONE- *-2)) (VP (TO to) (VP (VB enjoy) (NP (DT the) (JJ paralegal) (NN field)) (NP-ADV (DT a) (NN lot))))) (ADVP-PRP (-NONE- *T*-3)))))))))) (. .) (-DFL- E_S)))","monomorphemic"
"122",122,"109341:44","i, i didn't know ho-, what kind of an idea * to give her *t*-1 for,","no","yes","embedded","no","",NA,"","","what","know","",NA,"give","","","what","what kind",NA,"(WDT what)","ho-, what kind of an idea * to give her *t*-1 for","(TOP (S (EDITED (RM (-DFL- \[)) (NP-SBJ (PRP I)) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP I)) (RS (-DFL- \])) (VP (VBD did) (RB n't) (VP (VB know) (SBAR (EDITED (RM (-DFL- \[)) (WHADJP-UNF (XX ho-)) (, ,) (IP (-DFL- \+))) (WHNP-1 (WHNP (WDT what) (RS (-DFL- \])) (NN kind)) (PP (IN of) (NP (DT an) (NN idea)))) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB give) (NP (PRP$ her)) (NP (-NONE- *T*-1)) (PP-UNF (IN for)))))))) (, ,) (-DFL- N_S)))","complex"
"123",123,"140611:34","but it ends up *-2 giving us three bedrooms, which we wanted *t*-1.","no","yes","embadjunct","no","",NA,"","","which","ends","",NA,"wanted","","","which","",NA,"(WDT which)","which we wanted *t*-1","(TOP (S (CC but) (NP-SBJ-2 (PRP it)) (VP (VBZ ends) (PRT (RP up)) (S (NP-SBJ (-NONE- *-2)) (VP (VP (VBG giving) (NP (PRP us)) (NP (CD three) (NNS bedrooms))) (, ,) (SBAR (WHNP-1 (WDT which)) (S (NP-SBJ (PRP we)) (VP (VBD wanted) (NP (-NONE- *T*-1)))))))) (. .)))","monomorphemic"
"124",124,"89547:92","and, uh, the idea of * ever owning anything that *t*-1 has four thousand square feet in it, for less than two hundred twenty thousand dollars, which *t*-2 is probably about what their equity *ich*-6 is *t*-3, that they got *t*-4 out of *-5 selling their house.","no","yes","relative","no","",NA,"","","which","","",NA,"is","","","which","",NA,"(WDT which)","which *t*-2 is probably about what their equity *ich*-6 is *t*-3, that they got *t*-4 out of *-5 selling their house","(TOP (FRAG (CC And) (, ,) (INTJ (UH uh)) (, ,) (NP (NP (DT the) (NN idea)) (PP (IN of) (S-NOM (NP-SBJ (-NONE- *)) (VP (ADVP-TMP (RB ever)) (VBG owning) (NP (NP (NN anything)) (SBAR (WHNP-1 (WDT that)) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBZ has) (NP (NP (QP (CD four) (CD thousand)) (JJ square) (NNS feet)) (PP-LOC (IN in) (NP (PRP it))))))) (, ,) (PP (IN for) (ADJP (ADJP (RBR less)) (PP (IN than) (NP (NP (QP (CD two) (CD hundred) (CD twenty) (CD thousand)) (NNS dollars)) (, ,) (SBAR (WHNP-2 (WDT which)) (S (NP-SBJ (-NONE- *T*-2)) (VP (VBZ is) (ADVP (RB probably)) (SBAR-NOM-PRD (ADVP (RB about)) (WHNP-3 (WP what)) (S (NP-SBJ (NP (PRP$ their) (NN equity)) (SBAR (-NONE- *ICH*-6))) (VP (VBZ is) (NP-PRD (-NONE- *T*-3)) (, ,) (SBAR-6 (WHNP-4 (WDT that)) (S (NP-SBJ-5 (PRP they)) (VP (VBD got) (NP (-NONE- *T*-4)) (PP (IN out) (PP (IN of) (S-NOM (NP-SBJ (-NONE- *-5)) (VP (VBG selling) (NP (PRP$ their) (NN house)))))))))))))))))))))))) (. .) (-DFL- E_S)))","monomorphemic"
"125",125,"27777:45","um, essentially i was one of the nerdy types in high school really which *t*-1 meant that i, for one reason or another i didn't pay much attention to music,","no","yes","embadjunct","no","",NA,"","one","which","","",NA,"meant","","","which","",NA,"(WDT which)","which *t*-1 meant that i, for one reason or another i didn't pay much attention to music","(TOP (S (INTJ (UH um)) (, ,) (ADVP (RB essentially)) (NP-SBJ (PRP I)) (VP (VP (VBD was) (NP-PRD (NP (CD one)) (PP (IN of) (NP (DT the) (JJ nerdy) (NNS types)))) (PP-TMP (IN in) (NP (JJ high) (NN school))) (ADVP (RB really))) (SBAR (WHNP-1 (WDT which)) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBD meant) (SBAR (IN that) (S (EDITED (RM (-DFL- \[)) (NP-SBJ (PRP I)) (, ,) (IP (-DFL- \+))) (PP-PRP (IN for) (NP (NP (CD one) (NN reason)) (CC or) (NP (DT another)))) (NP-SBJ (PRP I)) (RS (-DFL- \])) (VP (VBD did) (RB n't) (VP (VB pay) (NP (JJ much) (NN attention)) (PP-DTV (IN to) (NP (NN music))))))))))) (, ,) (-DFL- E_S)))","monomorphemic"
